primary breed,secondary breed,mixed,primary color,secondary color,age,gender,size,coat,spayed_neutered,house_trained,special_needs,shots_current,children,dogs,cats,tags,name,status,status_changed_at,published_at
Chihuahua,None,False,Black, ,Adult,Female,Small,Short,True,True,False,True,None,True,True,[],Athena ADOPTED AR,adopted,08/08/2020 16:42,21/07/2020 20:11
Pointer,None,True,White / Cream, ,Young,Female,Medium,Short,True,False,False,True,None,None,None,[],Patsy,adopted,12/08/2020 19:21,21/07/2020 18:59
German Shepherd Dog,Mixed Breed,True,None, ,Adult,Male,Extra Large,None,True,False,False,False,None,None,None,[],COOPER,adoptable,21/07/2020 15:51,21/07/2020 15:51
Mixed Breed,None,False,Black, ,Baby,Male,Medium,None,True,False,False,True,True,True,None,[],Mak,adoptable,17/08/2020 17:06,21/07/2020 18:19
Shepherd,None,True,None, ,Young,Male,Large,None,True,False,False,True,None,None,None,[],Sandcastle,adopted,14/08/2020 12:33,21/07/2020 15:53
Great Pyrenees,Labrador Retriever,True,White / Cream, ,Adult,Male,Large,Medium,True,True,False,True,True,True,True,[],Elvis,adopted,23/07/2020 00:02,21/07/2020 11:22
Shepherd,None,True,None, ,Adult,Female,Large,None,True,True,False,True,True,True,None,[],Sierra,adopted,21/07/2020 20:47,21/07/2020 20:47
Labrador Retriever,Collie,True,Black, ,Young,Male,Medium,Short,True,False,False,True,False,True,None,[],Daniel,adoptable,22/07/2020 21:29,22/07/2020 21:29
German Shepherd Dog,None,False,Black, ,Young,Female,Large,Medium,True,False,False,True,None,None,None,"['newbie', 'bio coming soon']",*Skye von Singen,adopted,27/07/2020 18:08,21/07/2020 19:32
Pit Bull Terrier,None,True,Red / Chestnut / Orange, ,Baby,Female,Medium,Short,True,False,False,True,None,None,None,[],JoJo,adopted,30/07/2020 17:05,21/07/2020 13:12
Mountain Dog,None,True,White / Cream, ,Baby,Male,Medium,None,True,False,False,True,None,True,None,[],Tivon,adoptable,21/07/2020 18:21,21/07/2020 18:21
Pit Bull Terrier,None,True,Brindle, ,Baby,Female,Small,Short,True,False,False,True,None,None,None,"['loving', 'playful', 'energy']",Elsa,adopted,22/07/2020 18:24,21/07/2020 14:44
Rottweiler,Hound,True,None, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Chipper,adopted,30/07/2020 16:56,21/07/2020 17:21
Rottweiler,Hound,True,Black, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Ernie,adopted,02/08/2020 21:32,21/07/2020 20:24
Terrier,Collie,True,None, ,Baby,Female,Medium,Short,False,False,False,False,None,None,None,[],Summit~Adopted!!,adoptable,21/07/2020 15:38,21/07/2020 15:38
Chihuahua,None,True,None, ,Senior,Male,Small,None,False,False,False,True,False,True,None,[],Tiger,adopted,28/07/2020 01:44,21/07/2020 19:50
Hound,None,True,Yellow / Tan / Blond / Fawn, ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Maple,adopted,01/08/2020 01:11,21/07/2020 17:57
Chihuahua,None,False,Tricolor (Brown, & White),Young,Female,Small,None,True,True,True,True,True,True,None,[],Sabina,adopted,06/08/2020 13:38,21/07/2020 13:37
Hound,None,False,Brown / Chocolate, ,Baby,Female,Medium,Short,False,False,False,True,None,True,None,[],Subpoena,adopted,05/08/2020 02:03,21/07/2020 15:47
Labrador Retriever,Terrier,True,Brindle, ,Young,Male,Medium,Medium,True,True,False,True,True,True,None,['friendly'],Scout,adopted,27/07/2020 16:55,21/07/2020 19:30
Labrador Retriever,None,False,None, ,Adult,Male,Large,Short,False,False,False,True,True,True,None,[],Hank Williams,adoptable,21/07/2020 20:09,21/07/2020 20:09
Basset Hound,Beagle,True,Golden, ,Baby,Male,Medium,Short,True,True,False,True,True,True,None,[],Simon,adopted,26/07/2020 20:56,21/07/2020 19:19
Mastiff,American Staffordshire Terrier,True,None, ,Young,Male,Large,None,True,False,False,False,True,True,None,[],Nitro,adoptable,21/07/2020 11:06,21/07/2020 11:06
Rottweiler,None,True,Black, ,Adult,Female,Medium,Medium,True,False,True,True,None,True,False,[],Keelie   Lower Fee!,adopted,12/08/2020 04:31,21/07/2020 19:54
Mixed Breed,None,False,Bicolor, ,Baby,Female,Large,Short,True,False,False,True,True,True,None,[],Andra,adopted,29/07/2020 22:29,21/07/2020 18:48
Jack Russell Terrier,Chihuahua,True,None, ,Adult,Female,Small,Short,True,False,False,True,None,True,None,[],"Gigi - sassy, plyaful and affectionate",adopted,04/08/2020 01:29,21/07/2020 14:37
Beagle,Dachshund,True,Golden, ,Adult,Female,Medium,Short,True,True,False,True,None,True,None,"['Gentle', 'Affectionate', 'Mellow']",Gates,adopted,31/07/2020 23:39,21/07/2020 20:15
Border Collie,None,False,Black, ,Young,Female,Medium,Short,False,False,False,True,True,True,None,[],Pepper,adopted,25/07/2020 18:53,21/07/2020 18:11
Collie,None,True,None, ,Adult,Female,Medium,None,True,True,False,True,True,True,None,[],Pat Benetar,adopted,21/07/2020 17:12,21/07/2020 17:12
Mixed Breed,None,False,Black, ,Baby,Male,Medium,None,True,False,False,True,True,True,None,[],Calaway,adopted,06/08/2020 01:39,21/07/2020 18:17
American Bulldog,None,True,None, ,Adult,Female,Medium,None,True,False,False,False,None,False,False,[],Ruby (spayed),adoptable,21/07/2020 15:43,21/07/2020 15:43
Redbone Coonhound,None,True,Red / Chestnut / Orange, ,Baby,Male,Medium,Short,True,False,False,True,None,None,None,[],Billy,adopted,21/07/2020 15:39,21/07/2020 12:15
Jack Russell Terrier,None,True,Tricolor (Brown, & White),Senior,Male,Small,Short,True,True,False,True,None,True,None,"['Happy', 'Friendly']",Happy,adopted,23/07/2020 12:26,21/07/2020 20:51
Great Pyrenees,Greater Swiss Mountain Dog,True,Tricolor (Brown, & White),Senior,Female,Medium,Medium,True,True,False,True,True,True,True,[],Delilah PENDING,adopted,30/07/2020 16:07,21/07/2020 14:05
Cattle Dog,None,True,Merle (Blue), ,Baby,Female,Medium,Medium,False,False,False,False,None,None,None,[],Cassidy,adoptable,12/08/2020 15:50,21/07/2020 20:18
Chihuahua,Terrier,True,White / Cream, ,Senior,Female,Small,Medium,True,True,False,True,True,True,True,[],Sasha,adopted,14/08/2020 23:34,21/07/2020 14:55
Pit Bull Terrier,Mixed Breed,True,None, ,Young,Female,Medium,None,True,False,False,False,None,None,None,[],ADDIE,adoptable,21/07/2020 19:51,21/07/2020 19:51
Pit Bull Terrier,None,True,None, ,Young,Female,Medium,Medium,True,True,False,True,None,None,None,[],Layla,adoptable,21/07/2020 18:27,21/07/2020 18:27
Dachshund,None,False,Black, ,Adult,Male,Small,Long,False,False,False,True,True,True,None,[],Tank,adoptable,14/08/2020 20:59,21/07/2020 15:31
Cattle Dog,None,True,None, ,Adult,Female,Medium,Short,False,False,False,False,None,None,None,"['sweet', 'darling', 'playful']",Luma,adopted,02/08/2020 19:22,21/07/2020 19:48
Chihuahua,None,False,Brown / Chocolate, ,Adult,Male,Small,Short,True,False,False,True,False,True,True,[],Chimichanga,adopted,29/07/2020 20:37,21/07/2020 18:43
American Staffordshire Terrier,None,False,Bicolor, ,Adult,Female,Medium,Short,True,True,False,True,None,True,False,[],Xena,adoptable,21/07/2020 13:53,21/07/2020 13:53
Boxer,None,True,Brown / Chocolate, ,Baby,Male,Medium,Short,True,False,False,True,None,None,None,[],Gotti,adopted,22/07/2020 12:51,21/07/2020 20:34
Havanese,None,False,None, ,Adult,Female,Small,Long,True,False,False,True,None,True,True,[],Sunny,adopted,07/08/2020 18:03,21/07/2020 18:57
Jindo,None,False,White / Cream, ,Young,Male,Medium,Short,True,True,False,True,None,True,False,[],Oso,adopted,27/07/2020 16:56,21/07/2020 18:24
Husky,None,True,None, ,Young,Female,Medium,None,False,False,False,False,None,None,None,[],*Mantis* Puppy,adopted,21/07/2020 20:47,21/07/2020 20:47
Hound,Dachshund,True,Bicolor, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,"['playful', 'active']",Biggie,adopted,03/08/2020 00:40,21/07/2020 19:01
Shepherd,None,True,Brown / Chocolate, ,Young,Male,Large,Short,True,True,False,False,True,True,None,[],Scout,adopted,29/07/2020 17:54,21/07/2020 17:40
Rat Terrier,None,True,None, ,Senior,Female,Medium,Wire,True,False,False,True,None,None,None,[],Razzle,adopted,28/07/2020 23:46,21/07/2020 15:16
Staffordshire Bull Terrier,None,True,Black, ,Adult,Male,Medium,Short,True,True,False,True,False,True,None,[],Soldier,adopted,04/08/2020 18:34,21/07/2020 17:43
Cattle Dog,Australian Shepherd,True,Black, ,Young,Female,Medium,Short,True,True,False,True,True,True,True,[],DARLING - BE MY FUREVER!,adoptable,21/07/2020 17:32,21/07/2020 17:32
Mixed Breed,None,False,Red / Chestnut / Orange, ,Adult,Female,Medium,None,False,False,False,True,None,None,None,[],Rachel,adoptable,21/07/2020 15:35,21/07/2020 15:35
Rottweiler,None,True,Black, ,Adult,Female,Medium,Medium,True,False,True,True,None,True,False,[],Keelie    Lower Fee!,adopted,12/08/2020 04:32,21/07/2020 19:51
Staffordshire Bull Terrier,None,True,None, ,Adult,Male,Medium,None,True,True,False,True,None,None,None,[],Joker,adopted,21/07/2020 20:47,21/07/2020 20:47
Pit Bull Terrier,None,True,None, ,Adult,Female,Medium,Medium,False,False,False,True,None,None,False,[],Rose,adopted,04/08/2020 17:52,21/07/2020 18:31
Husky,None,True,None, ,Adult,Female,Medium,Medium,True,False,False,True,None,None,None,[],Zena,adopted,22/07/2020 18:59,21/07/2020 15:33
Terrier,Chihuahua,True,White / Cream, ,Young,Female,Small,Short,True,False,False,True,None,None,None,[],Belle,adopted,02/08/2020 22:36,21/07/2020 19:52
Pit Bull Terrier,None,True,Brindle, ,Baby,Female,Small,Short,True,False,False,True,None,None,None,"['loving', 'playful', 'energy']",Bette,adopted,26/07/2020 20:26,21/07/2020 14:46
German Shepherd Dog,None,True,Black, ,Adult,Male,Large,Short,True,True,False,False,True,False,True,[],Milo,adopted,28/07/2020 19:56,21/07/2020 17:37
Labrador Retriever,None,True,None, ,Baby,Female,Medium,Short,True,False,False,True,None,True,None,[],Ebony,adopted,23/07/2020 18:15,21/07/2020 16:00
Chihuahua,None,True,None, ,Baby,Female,Small,None,True,False,False,True,True,True,True,[],Salted Caramel,adopted,21/07/2020 17:26,21/07/2020 17:26
German Shepherd Dog,Labrador Retriever,True,Black, ,Adult,Male,Large,None,False,False,False,False,None,None,None,[],Raymond,adopted,22/07/2020 17:22,21/07/2020 13:37
Staffordshire Bull Terrier,None,True,Brindle, ,Baby,Female,Large,Short,True,False,False,True,None,True,True,"['playful', 'energetic']",Sweet Pea,adopted,29/07/2020 12:38,21/07/2020 19:34
German Shepherd Dog,Shepherd,True,Tricolor (Brown, & White),Adult,Female,Large,Medium,True,False,False,True,True,True,True,[],Callie,adopted,30/07/2020 23:17,21/07/2020 18:40
Mixed Breed,None,False,White / Cream, ,Baby,Male,Large,Short,True,False,False,True,True,True,True,[],Rocket,adopted,12/08/2020 00:51,21/07/2020 18:12
Pit Bull Terrier,None,True,None, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Rocky,adopted,21/07/2020 15:13,21/07/2020 15:13
Italian Greyhound,Miniature Pinscher,True,None, ,Young,Female,Small,Short,True,False,False,True,None,None,None,[],Lulu,adopted,25/07/2020 20:47,21/07/2020 17:53
Dachshund,Chihuahua,True,Merle (Blue), ,Baby,Female,Small,Short,True,False,False,True,True,True,None,[],Poppy-Adoption Pending,adoptable,14/08/2020 20:59,21/07/2020 15:35
Beagle,None,False,Tricolor (Brown, & White),Senior,Female,Medium,Short,False,True,False,False,False,True,True,[],LIzzie,adoptable,21/07/2020 18:26,21/07/2020 18:26
Mountain Dog,Feist,True,Black, ,Young,Male,Medium,Short,True,True,False,True,True,None,None,[],Dexter,adoptable,21/07/2020 18:42,21/07/2020 18:42
Pit Bull Terrier,None,False,None, ,Adult,Female,Large,None,False,False,False,False,None,None,None,[],PATRA,adoptable,21/07/2020 20:51,21/07/2020 20:51
Chihuahua,None,True,Red / Chestnut / Orange, ,Baby,Male,Small,Short,True,False,False,True,True,True,True,[],Ginger,adopted,24/07/2020 11:33,21/07/2020 18:14
Pit Bull Terrier,None,False,Brindle, ,Young,Male,Large,Short,True,False,False,True,None,None,False,[],Kodiak,adopted,08/08/2020 10:51,21/07/2020 15:48
Labrador Retriever,Redbone Coonhound,True,Black, ,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Rossi - Sweet Puppy Breath,adopted,25/07/2020 17:54,21/07/2020 18:52
Mixed Breed,None,False,Gray / Blue / Silver, ,Young,Male,Medium,Short,False,False,False,True,None,None,None,[],Miles,adopted,07/08/2020 15:44,21/07/2020 19:53
Australian Shepherd,Terrier,True,None, ,Baby,Male,Small,Short,True,False,False,True,None,None,None,[],Jake,adopted,22/07/2020 21:10,21/07/2020 15:10
Chihuahua,None,True,None, ,Adult,Male,Medium,None,True,False,False,False,None,True,None,[],Crash,adopted,21/07/2020 22:29,21/07/2020 20:11
Chihuahua,None,True,None, ,Baby,Male,Small,None,True,False,False,True,True,True,True,[],Prince Cuddlebutt,adopted,21/07/2020 17:12,21/07/2020 17:12
Hound,Labrador Retriever,True,None, ,Adult,Female,Medium,None,False,False,False,True,True,True,None,[],Carly,adoptable,24/07/2020 20:25,21/07/2020 19:44
Chihuahua,None,True,Bicolor, ,Adult,Male,Small,Short,True,False,False,True,None,None,None,[],Butterfinger,adopted,24/07/2020 16:25,21/07/2020 15:53
Terrier,Hound,True,Brindle, ,Baby,Male,Medium,Short,True,False,False,True,None,True,None,[],Mike TeaVee,adopted,31/07/2020 23:55,21/07/2020 19:10
Pit Bull Terrier,None,True,Gray / Blue / Silver, ,Adult,Female,Medium,Short,True,True,False,True,True,True,None,[],Pepper,adopted,02/08/2020 17:57,21/07/2020 17:46
Pit Bull Terrier,None,True,None, ,Baby,Male,Medium,None,False,False,False,False,True,True,True,[],Finn,adoptable,21/07/2020 13:41,21/07/2020 13:41
German Shepherd Dog,Cattle Dog,True,Bicolor, ,Young,Male,Medium,Short,True,True,False,True,True,True,True,[],Donner,adopted,24/07/2020 23:00,21/07/2020 19:58
Mixed Breed,None,False,Black, ,Young,Male,Medium,Short,False,False,False,True,None,None,None,[],Ray Lo,adopted,30/07/2020 16:02,21/07/2020 15:32
American Bulldog,Beagle,True,White / Cream, ,Adult,Male,Medium,Short,True,False,False,True,True,True,None,[],Atlas in NH,adopted,24/07/2020 04:53,21/07/2020 14:57
Akita,None,False,None, ,Young,Male,Large,None,True,True,False,True,None,None,None,[],Hakeem,adoptable,21/07/2020 13:08,21/07/2020 13:08
German Shorthaired Pointer,None,False,None, ,Adult,Male,Large,None,False,True,False,True,None,None,None,[],Max,adoptable,21/07/2020 18:22,21/07/2020 18:22
Beagle,None,False,Tricolor (Brown, & White),Young,Male,Medium,Short,True,True,False,True,True,True,True,[],Cena,adoptable,21/07/2020 18:22,21/07/2020 18:22
German Shepherd Dog,None,False,Black, ,Adult,Male,Large,Medium,True,False,False,True,None,None,None,"['new dog in town', 'bio in the making']",*Ollie von Olsberg,adopted,30/07/2020 23:01,21/07/2020 19:15
Terrier,None,False,None, ,Adult,Female,Medium,Short,False,False,False,False,None,None,None,[],Sphinx,adoptable,22/07/2020 01:19,22/07/2020 01:19
German Pinscher,None,True,None, ,Adult,Male,Small,None,True,True,False,True,True,True,None,[],Chase,adopted,30/07/2020 19:03,21/07/2020 20:46
Labrador Retriever,None,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Angel,adopted,24/07/2020 11:33,21/07/2020 18:24
Hound,None,False,None, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Jasmine in NH,adopted,24/07/2020 05:07,21/07/2020 15:08
Miniature Pinscher,None,True,Gray / Blue / Silver, ,Adult,Female,Small,None,True,True,False,True,True,True,None,[],Marley,adopted,27/07/2020 13:37,21/07/2020 13:37
Retriever,None,True,None, ,Baby,Male,Medium,None,True,False,False,True,True,True,True,[],Cole,adopted,21/07/2020 11:05,21/07/2020 11:05
Australian Cattle Dog / Blue Heeler,Shepherd,True,None, ,Adult,Male,Large,None,False,False,False,False,True,True,None,[],Rugar,adoptable,21/07/2020 20:00,21/07/2020 20:00
Labrador Retriever,None,False,None, ,Young,Male,Medium,None,True,True,False,True,True,None,None,[],Theon,adopted,31/07/2020 18:56,21/07/2020 20:36
Beagle,None,False,Tricolor (Brown, & White),Senior,Female,Medium,Short,False,True,False,False,False,None,True,[],Abby,adoptable,21/07/2020 18:29,21/07/2020 18:29
Husky,None,False,Tricolor (Brown, & White),Young,Male,Large,None,False,True,False,True,True,True,None,[],Traeger #419,adopted,23/07/2020 13:54,21/07/2020 18:46
Dachshund,None,False,Black, ,Young,Male,Small,Long,True,True,False,True,False,True,False,[],Ben and Jerry,adoptable,21/07/2020 18:26,21/07/2020 18:26
Black and Tan Coonhound,Hound,True,Bicolor, ,Adult,Male,Medium,Short,True,True,False,True,False,True,False,[],Lenny*Needs experienced adopter*,adoptable,21/07/2020 20:16,21/07/2020 20:16
Border Collie,None,True,Red / Chestnut / Orange, ,Adult,Male,Large,None,False,True,False,True,True,True,None,[],Beethoven,adopted,06/08/2020 12:14,21/07/2020 20:57
Dutch Shepherd,Belgian Shepherd / Malinois,True,Brindle, ,Adult,Female,Large,Short,True,True,False,True,True,True,None,[],Freedom,adoptable,21/07/2020 18:23,21/07/2020 18:23
Hound,None,True,Brindle, ,Baby,Male,Medium,Short,False,False,False,True,None,True,None,[],Praecipe,adopted,05/08/2020 02:03,21/07/2020 15:40
Mixed Breed,None,False,Brindle, ,Baby,Male,Medium,Short,False,False,False,True,None,None,None,[],Chance,adopted,07/08/2020 15:44,21/07/2020 19:52
Terrier,None,True,None, ,Adult,Male,Small,None,True,True,False,True,True,True,None,[],Kumquat,adopted,21/07/2020 12:37,21/07/2020 12:37
Staffordshire Bull Terrier,Chihuahua,True,Gray / Blue / Silver, ,Young,Female,Medium,Short,True,True,False,True,True,True,True,"['playful', 'good with kids', 'good with dogs', 'friendly']",Luchien,adopted,27/07/2020 16:55,21/07/2020 19:06
Pomeranian,Shih Tzu,True,None, ,Baby,Female,Small,None,True,False,False,True,None,True,True,[],Penny,adopted,31/07/2020 22:46,21/07/2020 15:30
Hound,None,True,Tricolor (Brown, & White),Senior,Male,Large,Short,True,True,True,True,None,None,None,"['Sweet', 'charming', 'senior', 'gentleman', 'Special Needs']",#¿NOMBRE?,adopted,28/07/2020 13:18,21/07/2020 15:03
Mastiff,None,True,None, ,Adult,Female,Large,None,True,False,False,False,None,None,None,[],Jasmine,adoptable,21/07/2020 12:45,21/07/2020 12:45
Poodle,None,True,White / Cream, ,Senior,Male,Small,Medium,True,True,False,True,False,True,None,"['sweet', 'loving', 'cuddlebug']",Ralphie,adopted,02/08/2020 01:13,22/07/2020 02:07
German Shepherd Dog,None,True,None, ,Baby,Male,Large,None,False,True,False,True,True,True,True,[],Kody,adopted,21/07/2020 14:26,21/07/2020 14:26
Border Collie,None,True,None, ,Baby,Female,Medium,None,True,True,False,True,None,None,None,[],Joan Jett,adopted,21/07/2020 12:37,21/07/2020 12:37
Bichon Frise,Lhasa Apso,True,White / Cream, ,Adult,Male,Small,None,False,False,False,False,None,None,None,[],Lenny,adopted,21/07/2020 14:54,21/07/2020 13:46
German Shepherd Dog,None,False,Black, ,Young,Female,Large,Medium,True,False,False,True,None,None,None,"['new beauty', 'bio coming soon']",*Ava von Ansbach,adopted,31/07/2020 19:08,21/07/2020 19:38
Mixed Breed,None,False,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],ROSSI,adoptable,21/07/2020 12:50,21/07/2020 12:50
Pit Bull Terrier,None,False,Black, ,Young,Male,Medium,None,True,False,False,True,None,None,None,"['Adult Only Home Preferred', 'Crate Trained', 'Dog Friendly', 'Loves Play', 'People Friendly', 'Potty Trained', 'Shy', 'Snuggler']",Baz,adoptable,21/07/2020 15:10,21/07/2020 15:10
Labrador Retriever,Boxer,True,Black, ,Adult,Male,Medium,Short,True,False,False,True,None,None,None,[],Plankton,adopted,23/07/2020 02:35,21/07/2020 18:35
Australian Shepherd,None,True,Brindle, ,Baby,Female,Medium,Medium,True,False,False,True,None,True,None,[],Eva,adopted,30/07/2020 13:49,21/07/2020 18:07
Mixed Breed,None,True,Bicolor, ,Young,Male,Large,Short,False,False,False,False,None,None,None,[],MALCOLM - #5,adopted,23/07/2020 13:33,21/07/2020 15:01
Terrier,Chihuahua,True,None, ,Young,Male,Small,None,False,False,False,False,None,None,None,[],Grizzly,adopted,22/07/2020 19:39,21/07/2020 13:53
Boxer,Black Labrador Retriever,True,Brown / Chocolate, ,Adult,Female,Medium,Short,True,True,False,True,None,None,False,[],Nala,adopted,03/08/2020 21:44,21/07/2020 20:52
Anatolian Shepherd,None,False,Bicolor, ,Adult,Male,Large,Long,True,True,False,True,True,True,None,['friendly'],Baylor,adopted,08/08/2020 14:35,21/07/2020 15:25
Mixed Breed,None,False,None, ,Adult,Female,Medium,None,True,False,False,False,None,None,None,[],SADIE,adoptable,21/07/2020 15:51,21/07/2020 15:51
Redbone Coonhound,None,True,Red / Chestnut / Orange, ,Adult,Male,Large,Short,True,True,False,True,None,True,False,[],Red,adopted,04/08/2020 03:09,21/07/2020 15:57
Rat Terrier,Hound,True,White / Cream, ,Baby,Female,Medium,Short,False,True,False,True,True,True,None,[],Chiquita,adopted,03/08/2020 04:31,21/07/2020 15:59
Border Collie,Australian Shepherd,True,Black, ,Baby,Female,Medium,Long,True,False,False,True,True,True,None,[],Betty,adopted,23/07/2020 23:53,21/07/2020 19:58
Boxer,None,True,None, ,Senior,Male,Large,Short,True,True,False,True,True,True,True,"['happy', 'loving']",Buster,adoptable,21/07/2020 15:10,21/07/2020 15:10
Treeing Walker Coonhound,None,True,Tricolor (Brown, & White),Baby,Male,Small,Short,False,False,False,False,None,True,None,[],Dyson,adopted,21/07/2020 17:28,21/07/2020 13:55
Beagle,Chihuahua,True,Black, ,Adult,Male,Small,Short,True,False,False,True,True,True,None,[],Panda-PENDING,adopted,25/07/2020 14:04,21/07/2020 18:09
Chihuahua,None,True,None, ,Young,Female,Medium,None,True,False,False,False,None,None,None,[],Gretta,adoptable,21/07/2020 17:22,21/07/2020 17:22
Shepherd,None,False,Black, ,Adult,Male,Medium,Medium,True,False,False,True,None,None,None,[],Squid,adopted,27/07/2020 04:07,21/07/2020 18:37
Terrier,None,True,Brown / Chocolate, ,Young,Female,Medium,Short,True,False,False,True,None,True,None,[],Pella,adopted,03/08/2020 13:34,21/07/2020 19:04
Black Labrador Retriever,Great Dane,True,Black, ,Young,Male,Large,Short,True,True,False,True,True,True,True,[],Bolt,adopted,23/07/2020 20:56,21/07/2020 19:41
Terrier,None,True,Black, ,Baby,Female,Medium,Short,False,False,False,True,None,True,None,[],Rainbow-pending,adopted,14/08/2020 17:41,21/07/2020 15:36
Cocker Spaniel,Labrador Retriever,True,None, ,Baby,Female,Medium,None,True,False,False,True,None,None,None,[],"Loulou, Momo and Yoyo",adopted,25/07/2020 14:39,21/07/2020 12:56
Pomeranian,None,False,Red / Chestnut / Orange, ,Adult,Female,Small,Medium,True,True,False,True,True,True,None,[],Mrs Brown,adopted,09/08/2020 20:30,21/07/2020 14:53
Mixed Breed,None,False,Black, ,Adult,Female,Medium,Short,True,False,False,True,True,None,False,[],Brandi,adoptable,21/07/2020 15:14,21/07/2020 15:14
Mixed Breed,None,True,None, ,Adult,Female,Medium,None,False,False,True,False,None,None,None,[],Chica,adoptable,21/07/2020 17:58,21/07/2020 17:58
Mixed Breed,None,True,None, ,Adult,Female,Medium,Medium,True,False,False,True,True,True,None,[],Claire,adopted,01/08/2020 14:29,21/07/2020 17:09
Australian Shepherd,Plott Hound,True,None, ,Baby,Male,Large,None,True,False,False,True,True,True,True,[],Aussie/Plott Mix M#1,adopted,22/07/2020 16:46,21/07/2020 15:21
German Shepherd Dog,None,False,Black, ,Young,Female,Medium,Short,True,True,False,True,False,True,False,[],Sadie,adoptable,31/07/2020 15:29,21/07/2020 20:33
Shepherd,Beagle,True,None, ,Young,Female,Medium,None,False,False,False,True,None,None,None,[],Sky,adopted,22/07/2020 14:19,21/07/2020 20:54
Pit Bull Terrier,None,True,Brindle, ,Baby,Male,Medium,Short,True,False,False,True,None,None,None,"['Playful', 'Energetic', 'Active']",Rico,adopted,22/07/2020 20:58,21/07/2020 13:56
Pit Bull Terrier,None,False,None, ,Baby,Male,Medium,None,False,False,False,False,None,None,None,[],Cupcake,adoptable,21/07/2020 10:16,21/07/2020 10:16
Maltese,None,True,None, ,Baby,Female,Medium,None,False,False,False,False,True,True,True,[],Poppy,adopted,21/07/2020 17:43,21/07/2020 17:43
Beagle,None,False,None, ,Senior,Male,Medium,None,True,False,False,False,None,True,None,[],Woody Guthrie &#34;Gus&#34;,adopted,21/07/2020 17:39,21/07/2020 17:39
Husky,Terrier,True,None, ,Adult,Female,Medium,Short,False,False,False,False,False,None,None,[],Montana,adoptable,21/07/2020 18:35,21/07/2020 18:35
Labrador Retriever,None,False,Black, ,Young,Male,Large,None,False,True,False,True,True,True,None,[],Moose #418,adopted,23/07/2020 13:54,21/07/2020 18:46
Mixed Breed,None,False,Brindle, ,Adult,Male,Large,Short,True,True,False,True,None,None,None,[],Binx,adopted,28/07/2020 18:32,21/07/2020 14:28
Schnauzer,None,True,Black, ,Adult,Male,Small,None,True,True,False,True,True,True,None,[],Ollie,adopted,27/07/2020 13:37,21/07/2020 13:37
Chihuahua,None,True,None, ,Adult,Female,Small,None,True,True,False,True,None,True,True,[],* Gracie - HOLD,adoptable,21/07/2020 11:05,21/07/2020 11:05
Chiweenie,None,False,None, ,Adult,Female,Small,Short,True,False,False,True,None,True,True,[],Emma,adopted,17/08/2020 17:20,21/07/2020 17:51
Mixed Breed,None,False,Black, ,Adult,Male,Medium,None,False,False,False,True,None,None,None,[],Bobbi,adoptable,21/07/2020 15:35,21/07/2020 15:35
Belgian Shepherd / Malinois,Border Collie,True,None, ,Young,Female,Medium,Medium,True,True,False,True,True,True,True,['Nice Girl'],Mai,adopted,26/07/2020 18:40,21/07/2020 18:54
Terrier,Collie,True,None, ,Baby,Male,Large,Medium,False,False,False,False,None,None,None,[],Timber(Pending),adoptable,21/07/2020 15:11,21/07/2020 15:11
Australian Cattle Dog / Blue Heeler,Husky,True,Gray / Blue / Silver, ,Young,Female,Medium,Short,False,False,False,False,None,True,None,"['Friendly', 'Outgoing', 'Smart']",Kaitlin,adoptable,21/07/2020 20:07,21/07/2020 20:07
Chihuahua,None,False,Black, ,Adult,Male,Small,Short,True,False,False,True,None,None,None,[],Nugget,adopted,21/07/2020 21:45,21/07/2020 18:21
Pit Bull Terrier,None,False,None, ,Adult,Female,Large,None,False,False,False,False,None,None,None,[],TUNDRA,adoptable,21/07/2020 17:51,21/07/2020 17:51
Labrador Retriever,None,True,Black, ,Baby,Female,Large,None,True,False,False,True,None,None,None,[],Monkey,adopted,25/07/2020 14:32,21/07/2020 19:01
Chihuahua,None,False,None, ,Adult,Female,Small,None,False,False,False,False,None,None,None,[],Bambi,adoptable,21/07/2020 10:28,21/07/2020 10:28
German Shepherd Dog,None,True,Bicolor, ,Adult,Female,Medium,Short,False,False,False,False,None,None,None,"['Playful', 'energetic']",Zinfandel,adopted,26/07/2020 15:13,21/07/2020 19:32
Shepherd,Mixed Breed,True,None, ,Young,Female,Medium,Short,True,False,False,True,None,True,True,"['shy', 'loving', 'playful dog friendly']",Spicy,adopted,23/07/2020 17:41,21/07/2020 12:09
Mixed Breed,None,False,Yellow / Tan / Blond / Fawn, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,"['Cat Free Home', 'Older Children Preferred']",Lobo,adoptable,21/07/2020 20:45,21/07/2020 20:45
